type,years,Canada,USA,Mexico,Central America,Brazil,Rest of South America,Northern Africa,Western Africa,Eastern Africa,South Africa,Western Europe,Central Europe,Turkey,Ukraine region,Central Asia,Russia Region,Middle East,India,Korea,China,South Eastern Asia,Indonesia Region,Japan,Oceania,Rest of South Asia,Rest of Southern Africa
underground,1973,979.3665484,12753.71413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
underground,1974,1139.131808,12078.53053,0,0,0,0,0,0,0,0,264.48036,0,0,0,0,0,0,0,0,0,0,0,0,13.2555615,0,0
underground,1975,1399.886753,12123.2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.161901666,0,0
underground,1976,1777.704354,14250.02088,0,0,0,0,0,0,0,0,905.9715068,0,0,0,0,0,0,0,0,0,0,0,0,17.93890061,0,0
underground,1977,2023.860596,16311.3636,0,0,0,0,0,0,0,0,1553.497911,0,0,0,0,0,0,0,0,0,0,0,0,30.76967068,0,0
underground,1978,2387.48676,19083.67984,0,0,0,0,0,0,0,0,2233.923306,0,0,0,0,0,0,0,0,0,0,0,84.69079915,19.8027821,0,0
underground,1979,2722.304147,20625.58934,0,0,0,0,0,0,0,0,3178.081552,0,0,0,0,0,0,0,0,0,0,0,182.5530098,58.19605583,0,0
underground,1980,2899.7805,20177.65913,0,0,0,0,0,0,0,0,3540.273921,0,0,0,0,0,0,0,0,0,0,0,236.8404344,82.8020833,0,0
underground,1981,3281.82287,21322.24109,0,0,0,0,0,0,0,0,3588.202273,0,0,0,0,0,0,0,0,0,0,0,289.0636047,121.8700837,0,0
underground,1982,2900.808647,19927.8752,0,0,0,0,0,0,0,0,3763.195839,0,0,0,0,0,0,0,0,0,0,0,338.0809779,164.0915685,0,0
underground,1983,3113.437202,22260.79285,0,0,0,0,0,0,0,0,4341.169062,0,0,0,0,0,0,0,0,0,0,0,372.4023645,108.4501251,0,0
underground,1984,3927.315311,26051.32901,0,0,0,0,0,0,0,0,5189.660583,0,0,0,0,0,0,0,0,0,0,0,451.3044938,187.4812295,0,0
underground,1985,4573.543998,28748.52027,0,0,0,0,0,0,0,0,6046.936903,0,0,0,0,0,0,0,0,0,0,0,588.3627975,273.4492986,0,0
underground,1986,4902.776952,30835.35869,0,0,0,0,0,0,0,0,6997.076369,0,0,0,0,0,0,0,0,0,0,0,675.5637226,372.4514568,0,0
underground,1987,5486.232483,33113.51315,0,0,0,0,0,0,0,0,8095.77913,0,0,0,0,0,0,0,0,0,0,0,792.5439265,412.3579759,0,0
underground,1988,6048.08586,35578.59451,0,0,0,0,0,0,0,0,9858.231233,0,0,0,0,0,0,0,0,0,0,0,1052.387807,539.4796839,0,0
underground,1989,6263.741195,37869.32236,0,0,0,0,0,0,0,0,11143.08289,0,0,0,0,0,0,0,0,0,0,0,1259.656618,629.2138536,0,0
underground,1990,6238.650485,38143.46595,0,0,0,0,0,0,0,0,12318.67629,0,0,0,0,0,0,0,0,0,0,0,1488.449786,726.6136478,0,0
underground,1991,5699.176231,38242.29428,0,0,0,0,0,0,0,0,13069.69085,0,0,0,0,0,0,0,0,0,0,0,1698.493208,682.7047038,0,0
underground,1992,5790.608557,42101.24819,0,0,0,0,0,0,0,0,13496.65284,0,0,0,0,0,0,0,0,0,0,0,1756.654443,653.1532208,0,0
underground,1993,6123.034188,45681.15586,0,0,0,0,0,0,0,0,13446.27897,0,0,0,0,0,0,0,0,0,0,0,1812.504889,772.4925135,0,0
underground,1994,6811.406189,50924.53433,0,0,0,0,0,0,0,0,14782.0963,0,0,0,0,0,0,0,0,0,0,0,1894.499032,930.1720396,0,0
underground,1995,7189.329941,55361.41098,0,0,0,0,0,0,0,0,15969.54048,0,0,0,0,0,0,0,0,0,0,0,2023.164304,1118.996179,0,0
underground,1996,7735.751161,60194.51637,0,0,0,0,0,0,0,0,17111.85352,0,0,0,0,0,0,0,0,0,0,0,2262.934825,1315.183831,0,0
underground,1997,8486.145947,63685.33551,0,0,0,0,0,0,0,0,18915.22379,0,0,0,0,0,0,0,0,0,0,0,2423.097634,1516.629512,0,0
underground,1998,9255.440745,66934.18023,0,0,0,0,0,0,0,0,21040.55252,0,0,0,0,0,0,0,0,0,0,0,2387.696508,1758.164112,0,0
underground,1999,10366.94708,70846.9208,0,0,0,0,0,0,0,0,23323.4242,0,0,0,0,0,0,0,0,0,0,0,2436.886893,2077.935868,0,0
underground,2000,11705.87666,75035.06626,0,0,0,0,0,0,0,0,26589.89806,0,0,0,0,0,0,0,0,0,0,0,2634.636925,2322.974926,0,0
underground,2001,11831.82775,76429.16652,0,0,0,0,0,0,0,0,28172.87635,0,0,0,0,0,0,0,0,0,0,0,2668.591166,2440.141656,0,0
underground,2002,12533.52444,79225.26349,0,0,0,0,0,0,0,0,29235.46981,0,0,0,0,0,0,0,0,0,0,0,2709.058886,2674.755686,0,0
underground,2003,12919.24454,83375.27014,0,0,0,0,0,0,0,0,30088.62324,0,0,0,0,0,0,0,0,0,0,0,2822.630267,2902.642976,0,0
underground,2004,13505.68909,89594.23438,0,0,0,0,0,0,0,0,32111.73928,0,0,0,0,0,0,0,0,0,0,0,3081.42132,3239.692738,0,0
underground,2005,14234.42438,94788.80577,0,0,0,0,0,0,0,0,33970.79632,0,0,0,0,0,0,0,0,0,0,0,3325.941796,3462.119178,0,0
underground,2006,14938.592,98718.06147,0,0,0,0,0,0,0,0,37080.28381,0,0,0,0,0,0,0,0,0,0,0,3515.918188,3622.465389,0,0
underground,2007,15454.0938,101599.237,0,0,0,0,0,0,0,0,40379.53455,0,0,0,0,0,0,0,29.69397652,0,0,0,3709.099429,3887.881487,0,0
underground,2008,15568.23298,101428.248,0,0,0,0,0,0,0,0,41475.70161,0,0,0,0,0,0,0,52.9370993,0,0,0,3646.343418,4051.965522,0,0
underground,2009,14664.90371,96292.65298,0,0,0,0,0,0,0,0,38551.69967,0,0,0,0,0,0,0,53.11149067,0,0,0,3195.862628,4009.059421,0,0
underground,2010,15554.10321,101351.0465,0,0,0,0,0,0,0,0,41247.92299,0,0,0,0,0,0,0,132.0594777,0,0,0,3530.466092,4081.946915,0,0
underground,2011,16549.00613,104867.4592,0,0,0,0,0,0,0,0,44104.41979,0,0,0,0,0,0,0,187.0916983,0,0,0,3520.359374,4294.793664,0,0
underground,2012,17069.42067,112011.2753,0,0,0,0,0,0,0,0,44925.00719,0,0,0,0,0,0,0,237.2519937,0,0,0,3728.126904,4650.859532,0,0
underground,2013,17762.68133,117671.4503,0,0,0,0,0,0,0,0,46044.52252,0,0,0,0,0,0,0,300.9919589,0,0,0,4016.373015,4924.330493,0,0
underground,2014,18932.9641,123190.1467,0,0,0,0,0,0,0,0,48151.27941,0,0,0,0,0,0,0,380.1827367,0,0,0,4219.030786,5221.811193,0,0
underground,2015,19348.26952,127435.5469,0,0,0,0,0,0,0,0,49068.49969,112.7606452,0,0,0,0,0,0,473.0658878,0,0,0,4343.630236,5456.560903,0,0
underground,2016,19813.01495,133134.1177,0,0,0,0,0,0,0,0,50365.18392,664.3497083,0,0,0,0,0,0,570.3521368,0,0,0,4467.952119,5668.282954,0,0
underground,2017,20282.99803,138918.7035,0,0,0,0,0,0,0,0,51686.331,1226.966718,0,0,0,0,0,0,658.0456025,0,0,0,4549.166938,5907.185215,0,0
underground,2018,20757.44336,147005.8281,0,0,0,0,0,0,0,0,53054.78986,1784.541922,0,0,0,1004.286129,0,0,745.3654968,0,0,0,4627.190661,6285.544454,0,0
underground,2019,21216.23591,156637.3538,0,0,0,0,0,0,0,0,54473.77804,2343.795055,0,0,0,2173.604258,0,0,836.1678964,0,0,0,4701.654731,6645.177821,0,0
underground,2020,21686.00856,167688.588,0,0,0,0,0,0,0,0,55959.03072,2906.73896,0,0,0,3403.749767,0,0,930.4535538,2412.421558,0,0,4772.893142,7049.080013,0,0
underground,2021,22007.67534,177402.1963,0,0,0,0,0,0,0,0,57267.21881,3423.401231,0,0,0,4647.353438,0,0,1018.842077,7486.697723,0,0,4858.416221,7429.90822,0,0
underground,2022,22312.27187,186513.5403,0,0,0,0,0,0,0,0,58540.5364,4047.824808,68.58680859,0,0,5915.261893,0,0,1120.966992,13236.25319,0,0,4937.371888,7796.001845,0,0
underground,2023,22850.51618,194284.8119,0,0,0,0,0,0,0,0,60265.10909,4636.74232,320.2685219,0,0,7340.444069,0,0,1227.339472,19710.78702,0,0,5010.506229,8142.978027,0,0
underground,2024,23514.723,201408.7851,141.1020838,0,0,0,0,0,0,0,62402.05861,5246.205872,587.9897689,0,0,8784.791321,0,0,1342.567047,27015.47793,0,0,5068.457165,8485.118454,0,0
underground,2025,24193.16511,208482.4324,345.9093172,0,0,0,0,0,0,0,64851.81573,5897.485096,872.9959682,0,0,10346.93025,0,0,1468.070502,35316.79149,0,0,5100.888528,8830.565586,0,0
underground,2026,24868.12221,214630.0852,569.6752801,0,0,0,0,0,0,0,66751.13159,6493.425075,1142.599782,0,0,11867.89201,0,0,1580.986914,42633.33852,0,0,5113.064158,9162.510515,0,0
underground,2027,25555.93349,220755.4887,817.7247787,0,0,0,0,0,0,0,68940.71284,7132.579078,1432.703296,0,0,13477.01189,0,0,1697.459419,50860.20519,0,0,5269.095314,9510.721527,0,0
underground,2028,26249.56721,227046.0167,1093.108549,0,0,108.7381205,0,0,0,0,70535.79824,7768.881471,1744.376285,0,0,15163.96885,95.83154166,0,1816.418599,59465.90372,0,0,5441.127103,9882.539946,0,0
underground,2029,26868.60449,233125.6089,1398.580202,0,0,719.4899153,0,0,0,0,72089.73365,8448.416842,2074.974204,0,0,16944.80789,697.7856461,0,1937.79631,68418.69875,0,0,5534.872772,10273.51123,0,0
underground,2030,27458.38914,238760.6953,1735.510463,0,0,1405.40254,0,0,0,0,74311.50456,9124.793703,2421.83814,0,0,18789.77442,1343.117638,0,2059.824508,77671.10854,0,0,5655.764585,10674.54757,0,0
underground,2031,28137.18421,243642.1539,2095.624004,0,0,2123.164977,0,0,0,32.30999705,76072.69666,9780.906683,2756.027755,0,0,20411.71407,1966.149285,0,2168.057264,85170.50028,0,0,5778.505932,11049.71344,0,0
underground,2032,28854.4461,248647.6723,2489.325114,0,93.94389851,2915.999406,0,0,0,315.669093,77910.62977,10441.34628,3101.744513,0,0,22085.99003,2649.017429,0,2276.562966,92897.30092,0,0,5901.461189,11421.8389,0,0
underground,2033,29638.82666,253787.0089,2926.688754,0,514.9803339,3801.78115,0,0,0,630.3931232,79875.2286,11118.74445,3466.394009,0,0,23786.50434,3385.84244,0,2384.614151,101420.822,0,0,6049.292413,11811.58217,0,0
underground,2034,30449.9437,259094.1458,3415.169647,0,963.152943,4798.415069,0,0,0,977.4856484,81810.45807,11801.1617,3854.69902,0,0,25520.83549,4175.572082,0,2494.2342,110685.8683,0,0,6195.341294,12218.48198,0,0
underground,2035,31290.90053,264393.5289,3962.550213,0,1437.87906,5921.562787,0,0,0,1358.121841,83807.03977,12513.43143,4270.401353,0,0,27268.80291,5021.806709,0,2609.974292,120748.0285,0,0,6334.168168,12651.57992,0,0
underground,2036,32186.26996,268772.0797,4553.162782,160.535199,1917.958483,7137.961674,0,0,0,1744.457269,86008.59172,13193.22573,4700.954921,0,28.79553867,28733.31796,5861.725581,0,2718.529552,130166.3369,0,0,6470.923476,13126.07373,0,0
underground,2037,33097.19558,272726.0258,5196.987268,374.839409,2416.15556,8474.630463,0,0,0,2160.072537,88484.51658,13921.2464,5148.374447,154.5689478,412.4411941,30210.30785,6751.008492,0,2829.287134,140053.0698,0,0,6615.26626,13619.2507,0,0
underground,2038,33984.54466,276532.436,5875.682759,618.1322518,2934.470064,9903.444068,0,0,0,2604.337176,91238.74988,14557.76103,5602.889677,530.5794091,817.2308414,31736.74951,7668.312159,0,2941.682524,149774.5118,0,0,6742.9804,14117.87169,0,0
underground,2039,34846.79688,280001.9626,6580.600003,889.546376,3475.184871,11423.85062,0,0,0,3076.423694,93581.16755,15270.83497,6060.262897,923.6883385,1241.696665,33259.5427,8612.797726,0,3057.668427,159303.4273,0,0,6870.587111,14614.52596,0,0
underground,2040,35737.64208,283353.923,7316.188143,1188.814507,4040.044015,13043.28813,0,0,0,3576.638883,96475.31943,15934.29155,6526.474769,1335.348273,1684.373306,34821.81278,9583.507081,0,3168.711687,168791.112,0,0,7003.279922,15131.77228,0,0
underground,2041,36577.25641,286709.6713,8096.975362,1517.339747,4588.564424,14700.6771,0,0,0,4074.785991,99868.01306,16463.73055,6984.749693,1714.962585,2058.323512,36042.60273,10504.37762,0,3267.799041,177341.6563,0,0,7137.615653,15640.37773,0,0
underground,2042,37486.20819,290265.2228,8931.405665,1878.225091,5158.587765,16476.90409,0,0,0,4606.480742,104011.7738,17044.65378,7460.330968,2113.267474,2445.863268,37235.81744,11470.90154,0,3366.544831,186225.6068,0,262.2731984,7281.263841,16190.48516,0,0
underground,2043,38463.65889,294265.9602,9825.656807,2272.425328,5749.714141,18370.32788,0,0,0,5169.875059,108850.3833,17688.76345,7947.792956,2528.640893,2845.075798,38368.98267,12467.33141,0,3463.16663,195631.9671,0,949.8695092,7440.972188,16782.26932,0,0
underground,2044,39508.53412,298651.894,10776.442,2701.553644,6355.940201,20367.45036,0,0,0,5764.301572,114320.7706,18375.62424,8448.803758,2960.19806,3254.210049,39525.1836,13480.39235,0,3559.195168,205667.0915,0,1701.785756,7600.394335,17407.89559,0,0
underground,2045,40579.61032,303816.7427,11789.28979,3167.240502,6980.30974,22463.32752,0,0,0,6396.205996,120229.1783,19109.72914,8966.025582,3411.89287,3673.643762,40678.72453,14585.03444,0,3660.812596,216358.0862,0,2515.913594,7765.762128,18056.86883,0,0
