flow,sector,category,elements,materials,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
inflow,electricity,grid,transformers,Mn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
inflow,electricity,grid,lines,Nd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
inflow,electricity,grid,substations,Nd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
inflow,electricity,grid,transformers,Nd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
inflow,electricity,grid,lines,Ni,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
inflow,electricity,grid,substations,Ni,0.00676836223209566,0.007024602667751729,0.007797172985503161,0.008539397648647081,0.009407157352716931,0.010149692456698924,0.011004220913171572,0.01187905125095098,0.01239018343887656,0.013346636282308737,0.014592378007627653,0.01618745399636814,0.017319670802712538,0.017190923868823565,0.01641200750880895,0.014868904817168883,0.012546762044267116,0.011636439875245728,0.01224700819282645,0.01329370244951177,0.014893866651583348,0.0167556142314324,0.01744272190751811,0.01817117239964943,0.01880457793241586,0.01947692658221246,0.019861936070578776,0.020049690009414634,0.020085764982657926,0.01998268315639285,0.019690952933829872,0.0199351343972756,0.020543165819581113,0.021407934310962804,0.022507678191238733,0.02369210751643928,0.02438729840044582,0.024700484177237716,0.02481589879982432,0.024765642552018637,0.02487467297018421,0.025419969380981525,0.02630379685126499,0.027363860060575614,0.028468231955772482,0.02929417002719695,0.029861672881117463,0.03028122753114903,0.030520564799496448,0.030754025558553565,0.031045441247311328
inflow,electricity,grid,transformers,Ni,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
inflow,electricity,grid,lines,Pb,72.55829318765834,71.81358466284763,76.12935398055114,74.79260610956837,86.03468994099579,91.12892691672238,81.55127243123503,59.630117556217975,62.30558318984824,62.50402306586304,68.86916469619933,85.71796229187603,109.87186878145508,104.90443522440313,108.21256109253204,108.00356612527,116.8175912122787,126.68265268870434,156.75646924056014,188.51904372243226,221.60679048511906,249.88643301035017,277.8023952326176,297.57855262194903,303.6621913800748,312.9145807645635,321.95362856857224,330.92795564664027,337.01039948911637,340.8844401733853,342.5826113935114,348.0628397270689,354.3729387273059,362.9757759551778,377.46031623653613,392.71536771240847,402.7658839132881,407.1084094797667,408.6304489791708,410.29654877058425,413.52442395161717,422.87452471369596,439.7100559997044,461.86237525892653,484.91857715883964,508.13305701571994,526.5997179803709,540.9223588714278,548.7369603606522,551.0903930606319,546.5342472930549
inflow,electricity,grid,substations,Pb,1.8048965952255095e-06,1.873227378067128e-06,2.0792461294675095e-06,2.277172706305888e-06,2.5085752940578485e-06,2.7065846551197124e-06,2.934458910179086e-06,3.1677470002535966e-06,3.304048917033748e-06,3.5591030086156624e-06,3.891300802034041e-06,4.316654399031504e-06,4.618578880723344e-06,4.584246365019617e-06,4.376535335682388e-06,3.965041284578368e-06,3.3458032118045645e-06,3.103050633398861e-06,3.2658688514203864e-06,3.544987319869805e-06,3.971697773755559e-06,4.468163795048637e-06,4.651392508671497e-06,4.845645973239849e-06,5.014554115310895e-06,5.19384708858999e-06,5.296516285487674e-06,5.34658400251057e-06,5.356203995375447e-06,5.3287155083714284e-06,5.2509207823546326e-06,5.316035839273493e-06,5.478177551888299e-06,5.708782482923415e-06,6.002047517663661e-06,6.317895337717143e-06,6.503279573452222e-06,6.586795780596725e-06,6.6175730132864846e-06,6.604171347204971e-06,6.63324612538246e-06,6.7786585015950755e-06,7.014345827003998e-06,7.297029349486831e-06,7.5915285215393276e-06,7.811778673919184e-06,7.963112768297989e-06,8.074994008306407e-06,8.13881727986572e-06,8.201073482280953e-06,8.278784332616353e-06
inflow,electricity,grid,transformers,Pb,0.0019300140021861656,0.0019511808305436268,0.0020709853444025803,0.0022092399277771485,0.0024498723526147673,0.0026602977590112964,0.002896901193933838,0.0031298911611267414,0.0032664355754944735,0.003440757748493759,0.0036237974821820007,0.0038945974236813405,0.004040496883340273,0.0038699392405200034,0.0036043900213837505,0.0032269217165440144,0.002663772714658683,0.0024005149689302896,0.002472733461797193,0.002617432204271331,0.0028897582817589296,0.003262880262655265,0.0034539873696786375,0.003706833072692143,0.003909716472956309,0.004127761428807055,0.0042225146434173595,0.004245878520842327,0.004244755063980917,0.004222702265716601,0.00414184560628555,0.0042085128460919805,0.004340840825447631,0.004490904598078145,0.0047200787191469164,0.004979984739622278,0.005153927314127084,0.005241591602667689,0.005298995452989437,0.005338261864844961,0.005402251942808713,0.005544275554912447,0.005777147692809171,0.006028899779080079,0.006258375103884705,0.006408294906848576,0.0064776888119725835,0.006481366874148485,0.006432051308513751,0.0063809778539643015,0.006340683091645505
inflow,electricity,grid,lines,Plastics,302.1769723006605,300.90584347030796,321.9220625242983,346.499337750907,383.39273515676643,420.0444149246972,464.9752112277142,519.5219794381917,543.0511390728242,580.0941893272218,617.8442707906427,671.6960857984602,698.0004981150489,683.3315570453522,641.347876603494,577.5218583315999,477.8451612125517,426.60824078544704,440.02912981824545,472.8476361833965,530.7292742752869,604.3864309091616,641.60157431503,682.6818756020725,714.9019630186336,747.5589549776793,760.7613643779081,763.4630241935517,766.873057970465,762.1172131888477,750.0918687375718,760.7557370604694,783.4314418938465,807.03791608749,845.8156052626489,887.9888329345317,914.5295668728629,929.059670188407,939.762103979992,942.3012090036195,951.0528682134777,975.6048008490861,1012.3604039361063,1051.8258211034504,1091.5641547735624,1117.8330923604158,1131.7740198510407,1138.2838476875836,1137.8844018189632,1137.7678077858443,1141.0614283256132
inflow,electricity,grid,substations,Plastics,0.27257097156946836,0.28289011556725246,0.31400255235685964,0.34389292917454944,0.3788387694703811,0.4087416481545412,0.44315464846797004,0.47838523261079735,0.4989692073281442,0.5374868386036161,0.5876545188711759,0.6518903557057402,0.6974862361196376,0.69230142542935,0.6609334250564147,0.5987906221938138,0.5052748365386958,0.46861494902931267,0.4932033492693781,0.5353551225784384,0.5997958685481302,0.674770925918758,0.7024416681782978,0.7317773407637489,0.757285426108963,0.7843618027011389,0.7998666481436345,0.8074277495991399,0.8088805368716119,0.804729294285482,0.7929809292492411,0.8028144423574848,0.8273006784422909,0.8621260586148868,0.9064142109987718,0.9541127591636984,0.9821090229838207,0.9947214317962658,0.9993693325339921,0.9973454464265268,1.0017362467399455,1.0236960602646346,1.0592889709295763,1.1019791297861274,1.1464536585015652,1.179715285888591,1.2025693824864416,1.219465407649413,1.2291038385621214,1.238505614610364,1.25024131295089
inflow,electricity,grid,transformers,Plastics,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
inflow,electricity,grid,lines,Steel,2683.6549647850297,2797.373085065944,3115.222572688476,3442.967392821252,3781.989201697824,4085.5398908495513,4491.5583655549835,5022.922682745563,5235.667159757307,5647.869201192545,6165.470986418759,6794.778081726709,7121.473666487223,7074.28034631557,6719.836030510573,6045.196045967734,5003.328608491892,4571.776892812791,4726.611532725461,5060.628763268035,5629.919254869494,6328.268428468866,6522.058713982736,6766.895739051153,7020.452288421783,7279.435597008724,7411.837635978654,7456.958990664934,7446.378122929547,7383.326752020702,7245.608487929206,7328.266910497462,7565.8402436060305,7905.236826863499,8325.676629696774,8779.251988965298,9040.97324531645,9158.075516657314,9200.708264262346,9174.717527979,9214.0204692204,9420.193516667756,9747.566837104234,10132.169098328572,10531.555503935677,10809.176589464158,10991.151364949896,11122.35257883441,11197.774089800574,11289.257063827496,11430.07034300977
inflow,electricity,grid,substations,Steel,79.68227419854941,81.77680515215457,89.4624934939971,97.18746791859465,107.69541296978036,116.7568903876083,127.16197859069071,137.62749858649838,143.72232404748206,153.82859964132066,166.2235833996472,182.65153013936816,193.44754871895393,189.21670167907152,178.45586435624818,160.06666042796505,132.7295620965125,121.14851240185098,126.8332972011254,136.97680115019782,153.37673845047166,173.4466992026419,181.54450603867315,190.95246048955278,198.69116627478147,206.97443046515522,210.81744732506556,211.8555663301935,211.30354406082807,209.2941952370422,204.80100457414758,206.8754265101609,212.7965738034288,220.91645638977752,232.24559115568587,244.83043134308386,252.4105403822765,255.78557786765168,257.3841141540031,257.65630975692363,259.78407184271276,266.73560479146585,278.0134048958156,291.0561218208841,304.1202835041562,313.72051624308307,319.93143265111524,323.7793726136812,325.19020153127417,326.3212339841321,327.8466414347943
inflow,electricity,grid,transformers,Steel,2045.2449393546879,2106.4170519164973,2293.840461055391,2479.9523609531493,2718.444037185398,2925.3849124896333,3161.9154919799516,3401.5444543509043,3545.9495249231413,3787.1466534166684,4087.7795089889014,4478.701147748339,4748.5125813513705,4692.005457298335,4486.220950892677,4104.364733795472,3525.7386065915643,3299.752719657239,3457.6323883275686,3718.909777330167,4120.15678719203,4598.643750947898,4802.701648222829,5030.966127465249,5227.798533365674,5437.660030457609,5559.919027991112,5626.976047933718,5661.279606885148,5666.356732070901,5622.942502537627,5725.802793150421,5919.549337386128,6169.801790876142,6488.491016051483,6832.2908968006805,7058.404024305043,7185.456341975313,7262.797175324317,7298.185276391061,7364.66304060788,7528.974673887033,7776.09085482412,8055.658442576747,8332.695636202656,8531.226335715164,8656.85704529841,8736.89582878797,8770.352056454298,8806.057680391641,8860.905594779373
inflow,electricity,grid,lines,Wood,484.591345283208,496.83286735307354,534.636396247674,600.9292597597337,660.5934451421712,698.4918989144423,777.348896367585,943.8550120760174,973.7367391700004,1032.3759838374249,1123.9942576334051,1213.443429066575,1170.8622238104692,1107.9645310939186,1004.8453823006579,829.4885762948134,588.7851750201011,460.5160700403148,450.0493159821969,481.6905968015992,559.9636611669879,662.8030300032086,699.4840660153235,750.5468339477553,789.0331346442741,825.4585304599161,828.5700512731511,811.9631801951181,787.1329279456195,755.2911566438754,708.6625007479194,703.0162617703313,717.9339832855369,741.3278497119322,780.1293954989505,827.1122949553144,850.4200644053425,855.2829911456816,853.3255852160088,848.0208959461651,850.4774874832816,873.549289721476,914.8116758373861,960.4338245780018,1004.2518043527405,1031.0866603241773,1042.8753015315306,1043.3673324771728,1035.5563941914054,1027.3093732317118,1022.7312665698702
