type,years,Canada,USA,Mexico,Central America,Brazil,Rest of South America,Northern Africa,Western Africa,Eastern Africa,South Africa,Western Europe,Central Europe,Turkey,Ukraine region,Central Asia,Russia Region,Middle East,India,Korea,China,South Eastern Asia,Indonesia Region,Japan,Oceania,Rest of South Asia,Rest of Southern Africa
aboveground,2028,67101.42888,329977.0588,45015.29223,14087.38279,89779.50734,84755.66926,106088.212,48267.42862,44467.00093,19493.20609,189879.8248,51192.42262,48503.0564,9729.836063,49712.25343,61608.91262,129985.5715,489510.3998,7578.792981,731507.5051,35054.25573,29475.53188,13243.24169,22165.81952,30244.49745,24479.55349
aboveground,2029,66052.29459,327013.2948,45848.30011,14795.49414,91803.32213,86168.36044,108518.7782,51719.59735,47341.7964,20004.10653,185196.1803,50367.97033,48688.70975,9662.676405,50296.13937,60968.02607,128393.4121,511045.9145,7441.855155,725483.9642,36749.49986,31417.27459,12857.19879,22142.68256,31615.64848,25507.62867
aboveground,2030,64907.99983,322372.4925,46047.0951,15651.50008,93858.59084,87952.92093,110933.4441,55333.80785,50190.74953,20556.12409,179777.3389,49836.2701,48854.87461,9566.371653,50816.82072,60362.20083,128397.8771,535066.4808,7290.391852,717357.6318,38505.69195,33359.63217,12396.49449,22140.0225,33056.21308,26705.34163
aboveground,2031,63526.09314,319803.2849,46526.34983,16616.10634,95737.1007,89721.30443,113352.3373,59469.71766,53643.09048,21184.04732,174076.3636,49390.49872,49172.83515,9460.074717,51246.97408,59635.51649,130047.951,559194.3342,7136.038239,717345.9926,40313.09253,35420.87914,11887.61627,22142.89771,34509.87375,27915.28004
aboveground,2032,63042.85281,318021.8623,47287.28071,17677.18611,97343.81976,91547.22642,115881.1193,63847.67988,57052.96712,21824.50501,172579.8764,48958.49587,49566.6425,9382.889668,51585.65646,58972.27147,133073.6315,584090.3453,6964.649213,717703.3726,42170.83487,37640.05392,11328.99507,22167.01323,36051.12863,29180.98082
aboveground,2033,62518.51662,316744.87,48273.26656,18915.28582,98718.93065,93734.09336,119163.8126,68710.59837,60929.05624,22553.25173,172747.4019,48676.38506,50085.04546,9341.096947,52095.95659,57839.93675,136536.6335,612691.0655,6768.769016,724546.6854,43991.9927,40186.2872,11074.53995,22236.08461,37884.10695,30601.05076
aboveground,2034,61876.4884,315690.5685,49538.30256,20331.4952,100036.7911,96192.15652,123371.4872,74014.84776,65032.48554,23368.14655,173713.4256,48919.84556,50769.65384,9339.002982,52543.69472,56709.11336,140198.8261,645093.305,6549.911289,735709.4362,45818.56018,43089.68984,11067.50854,22359.3047,39985.05297,32193.6621
aboveground,2035,61942.57603,314915.4006,51180.80176,21949.78805,101363.3016,98818.3647,128630.5308,79791.49881,69540.71407,24299.41711,177192.3076,49408.77845,51616.41662,9377.58852,53065.98012,55474.05606,144082.9137,683194.2417,6318.308422,749860.3454,47706.29424,46221.20657,11276.90087,22595.40526,42371.99508,33962.48474
aboveground,2036,62065.88921,314428.3729,53124.23909,23669.89867,102405.5928,101774.2483,134983.6345,86084.54371,74561.80742,25342.05696,182408.3413,49006.33441,52463.3877,9423.189954,53540.93608,54634.2493,148057.1649,729284.8773,6115.989213,767595.6028,49631.38848,49387.73407,11105.23154,22990.31925,45030.69152,35958.34802
aboveground,2037,62453.3117,314226.4418,55434.57746,25522.45118,103321.7896,105099.5281,142057.1997,92860.09343,79890.88366,26504.87754,182777.538,48630.76572,53388.88778,9437.633701,53835.07382,54256.33942,152113.0171,781688.2331,6121.112614,786572.6462,51571.62547,52457.95993,11072.96112,23518.93765,48085.47632,38149.90344
aboveground,2038,63014.5679,314412.0196,58007.60016,27389.36531,104080.3618,108423.7194,149100.7625,99797.02438,85336.78303,27781.18067,183009.2848,48103.05191,54236.00409,9419.275538,53907.35644,53968.67851,155386.758,836721.6994,6036.34479,802128.9963,53606.03293,55232.00583,11042.67529,24224.23816,51322.96731,40494.94003
aboveground,2039,64129.95349,314753.1908,60732.63056,29208.90401,104824.7071,111894.3569,156096.4421,106963.2494,90728.73718,29114.26407,183535.5344,47490.27482,54829.26555,9376.935295,53943.37077,53275.73549,157785.5957,894096.7694,5981.708433,814672.3534,55746.27843,57702.34562,11028.24867,25098.09466,54802.13878,42996.8089
aboveground,2040,64703.75603,315839.6349,63631.04077,30939.11041,105619.9257,115725.1592,163466.8592,114253.5205,95692.57446,30458.34444,184656.7849,47045.84708,55295.00562,9317.391399,53679.56182,52442.83231,159026.303,953224.169,5980.388006,825991.3938,58054.95867,59989.85543,11112.75021,26157.02709,58659.66972,45724.86448
aboveground,2041,64563.43868,319147.1192,66693.46288,32603.10185,105960.3699,119529.9522,171688.8032,122654.6569,101488.0887,31810.89987,186962.2337,46571.72655,55676.60945,9302.08417,53764.12359,52080.77191,159635.9755,1007827.831,6006.264919,835409.379,60384.35473,62230.74766,11213.94326,27288.97738,62919.24608,48553.64971
aboveground,2042,64954.14492,324534.1543,69976.34969,34188.94378,106484.7815,123832.9602,181771.986,131289.1174,107033.4483,33117.52474,190956.2565,46317.72311,56033.58722,9304.964992,53922.56068,51435.59751,161144.4271,1065543.193,6058.558253,842926.5878,62789.07038,64273.5136,11333.66426,28571.91276,67574.76735,51708.08674
aboveground,2043,65598.32585,332092.2275,73386.15643,35629.01152,107039.7652,128490.2907,193238.1607,140140.2982,111917.2849,34295.22143,196368.8248,46166.96395,56228.04487,9298.842283,54002.29743,50659.78124,163084.3218,1125273.967,6119.718217,848365.9296,65151.04623,65829.5983,11460.15848,29925.92026,72434.33645,55192.33782
aboveground,2044,66279.17033,341559.8201,76929.51703,36920.19129,107474.1499,133314.621,205428.6568,149554.3104,116695.0047,35279.39153,203163.8123,46063.98997,56312.19342,9277.499011,54127.90692,49803.99683,165238.4942,1184897.722,6189.916979,851608.3646,67431.10569,67047.87517,11605.45974,31324.1126,77377.14199,58947.73461
aboveground,2045,67064.08147,352787.1146,80725.90697,38131.14381,108029.6753,138477.7635,217897.2919,160050.7843,121980.2295,36193.15182,211758.3164,46033.48207,56339.37385,9267.022948,54300.67474,48680.24008,168121.8856,1243502.858,6284.509821,852995.4935,69652.16286,67983.38134,11750.57456,32738.03201,82464.62966,63049.48975
aboveground,2046,68101.08796,365673.6596,84651.54502,39322.26874,108616.1755,143982.899,229628.028,171802.2444,127821.5543,37097.94818,221767.8608,46087.33918,56341.65094,9272.637446,54316.81688,47741.51233,171364.7162,1301085.281,6410.757988,853340.1474,71710.75518,68707.58789,11888.82473,34126.39489,87732.06858,67612.07713
